,City,Country,Temperature,Humidity,Cloudiness,Windspeed,Latitude,Longitude,Date
281,noumea,NC,80.58,99,41,12.8,-22.2763,166.4572,1677964005
282,stykkisholmur,IS,36.73,93,100,7.7,65.0757,-22.7297,1677964006
283,troy,US,44.24,61,0,8.05,42.6056,-83.1499,1677964006
284,lagoa,PT,57.99,78,100,26.84,39.05,-27.9833,1677964007
285,abu samrah,SY,53.71,65,0,6.22,35.3029,37.1841,1677964007
286,spencer,US,39.74,68,0,14.97,43.1414,-95.1444,1677964008
287,kyren,RU,22.8,96,100,2.59,51.6828,102.1408,1677964009
288,rudbar,AF,69.8,35,55,7.76,30.15,62.6,1677964009
289,callaway,US,78.91,56,0,13.8,30.153,-85.5699,1677964009
290,kota tinggi,MY,79.2,79,100,3.65,1.7381,103.8999,1677964010
291,anuradhapura,LK,73.0,95,95,4.27,8.3565,80.4173,1677964010
292,estelle,US,75.99,40,20,4.0,29.8458,-90.1067,1677964011
293,talnakh,RU,-8.39,100,100,2.24,69.4865,88.3972,1677964011
294,xinmin,CN,35.19,73,0,8.41,41.9908,122.8253,1677964012
295,airai,TL,58.53,93,100,2.62,-8.9266,125.4092,1677964012
296,mauriti,BR,84.88,41,99,1.72,-7.3892,-38.7744,1677964013
297,kenai,US,17.69,52,0,4.61,60.5544,-151.2583,1677964014
298,kavaratti,IN,81.64,58,0,3.6,10.5669,72.642,1677964015
299,robat karim,IR,58.86,54,40,9.22,35.4846,51.0829,1677964015
300,sassandra,CI,79.29,86,41,4.52,4.95,-6.0833,1677964015
301,lodja,CD,75.94,69,100,0.87,-3.4833,23.4333,1677964016
302,dwarahat,IN,50.56,47,5,4.09,29.7833,79.4333,1677964016
303,hailey,US,27.9,78,100,0.0,43.5196,-114.3153,1677963504
304,milkovo,RU,-13.02,89,9,3.29,54.7167,158.6167,1677964017
305,saint-francois,FR,36.97,80,15,2.3,46.4154,3.9054,1677964018
306,labrea,BR,86.05,69,92,4.09,-7.2586,-64.7981,1677964018
307,juneau,US,33.8,73,20,18.41,58.3019,-134.4197,1677964019
308,huaicheng,CN,58.05,47,0,1.83,23.9051,112.1931,1677963922
309,esna,EG,78.55,11,76,3.65,25.2934,32.554,1677964020
310,ha tinh,VN,62.92,95,27,4.41,18.3333,105.9,1677963754
311,pilar,BR,80.53,71,4,8.61,-9.5972,-35.9567,1677964020
312,west plains,US,59.97,63,11,4.0,36.7281,-91.8524,1677964021
313,buraydah,SA,75.65,22,72,11.03,26.326,43.975,1677963781
314,kupang,ID,76.77,85,100,7.65,-10.1667,123.5833,1677964022
315,vila velha,BR,80.94,79,0,13.8,-20.3297,-40.2925,1677964022
316,masterton,NZ,58.46,87,100,3.71,-40.9597,175.6575,1677963924
317,cayenne,GF,80.64,78,75,13.8,4.9333,-52.3333,1677964024
318,dasoguz,TM,56.01,38,90,9.48,41.8363,59.9666,1677964025
319,keokuk,US,58.08,58,75,12.66,40.3973,-91.3849,1677964000
320,empalme,MX,79.92,43,0,20.71,27.9667,-110.8167,1677964026
321,cabo san lucas,MX,76.6,56,0,3.44,22.8909,-109.9124,1677963987
322,otorohanga,NZ,68.32,82,73,1.81,-38.1833,175.2,1677964027
323,coahuayana,MX,85.57,46,71,7.9,18.7333,-103.6833,1677964028
324,kysyl-syr,RU,-0.18,98,95,5.93,63.8986,122.7617,1677964029
325,pevek,RU,-26.72,94,100,4.72,69.7008,170.3133,1677964030
326,makakilo city,US,79.12,59,20,10.36,21.3469,-158.0858,1677964030
327,karasburg,NA,62.28,63,0,17.27,-28.0167,18.75,1677964031
328,shache,CN,46.94,36,100,5.1,38.4167,77.2406,1677964032
329,acarau,BR,80.28,82,91,13.65,-2.8856,-40.12,1677964032
330,tweed,CA,38.23,91,100,4.79,44.4751,-77.3162,1677964034
331,nikolayevsk-na-amure,RU,16.29,91,100,4.41,53.1406,140.73,1677964035
332,ust-nera,RU,-17.52,99,100,4.18,64.5667,143.2,1677964036
333,krasnaya poyma,RU,25.75,96,98,7.36,55.0014,39.08,1677964037
334,horsham,GB,42.64,72,75,4.61,51.064,-0.3272,1677964037
335,saldanha,ZA,65.35,89,100,8.12,-33.0117,17.9442,1677964039
336,rio verde de mato grosso,BR,78.89,83,71,7.16,-18.9181,-54.8442,1677964039
337,campeche,MX,95.72,36,36,7.27,19.0,-90.5,1677964041
338,polunochnoye,RU,12.7,98,100,3.51,60.8697,60.4153,1677964041
339,kruisfontein,ZA,68.88,89,0,3.89,-34.0033,24.7314,1677964042
340,okhotsk,RU,-10.37,99,100,6.29,59.3833,143.3,1677964043
341,zacatepec,MX,92.64,18,3,3.09,18.65,-99.2,1677964043
342,broken hill,AU,71.4,32,0,1.81,-31.95,141.4333,1677964045
343,hambantota,LK,76.95,85,99,13.67,6.1241,81.1185,1677964046
344,umm kaddadah,SD,73.67,10,5,12.44,13.6017,26.6876,1677964047
345,mnogovershinnyy,RU,12.83,91,100,7.18,53.9353,139.9242,1677964048
346,asau,RO,38.32,83,9,5.57,46.4333,26.4,1677964048
347,tilichiki,RU,-28.84,96,15,6.89,60.4667,166.1,1677964049
348,mumford,GH,81.41,83,71,8.37,5.2618,-0.759,1677964049
349,clinton,US,44.62,98,100,8.01,42.587,-82.9199,1677964050
350,maniitsoq,GL,31.48,81,7,5.91,65.4167,-52.9,1677964051
351,menongue,AO,68.05,78,88,4.27,-14.6585,17.691,1677964051
352,nizhnyaya tavda,RU,17.24,96,100,7.58,57.6731,66.1725,1677964052
353,broome,US,36.28,83,100,11.5,42.2506,-75.833,1677964053
354,xining,CN,33.42,30,0,2.21,36.6167,101.7667,1677964053
355,lalibela,ET,64.85,57,58,6.31,12.0333,39.0333,1677964054
356,minot,US,35.82,55,0,13.8,48.2325,-101.2963,1677963780
357,caucaia,BR,83.03,75,20,6.91,-3.7361,-38.6531,1677964026
358,pacific grove,US,55.42,71,100,20.71,36.6177,-121.9166,1677964056
359,seoul,KR,31.6,93,20,3.44,37.5683,126.9778,1677963886
360,helena,US,35.17,37,0,13.8,46.5927,-112.0361,1677963806
361,walvis bay,NA,65.08,75,0,11.81,-22.9575,14.5053,1677964057
362,waingapu,ID,76.03,86,98,6.13,-9.6567,120.2641,1677964058
363,faya,SA,55.92,56,28,4.0,18.3851,42.4509,1677964059
364,vao,NC,76.51,78,75,18.86,-22.6667,167.4833,1677964059
365,sfantu gheorghe,RO,36.93,82,15,4.29,45.8667,25.7833,1677964060
366,sibolga,ID,74.57,91,99,2.55,1.7427,98.7792,1677964061
367,luau,AO,65.07,92,100,2.13,-10.7073,22.2247,1677963860
368,imbituba,BR,81.12,81,83,5.41,-28.24,-48.6703,1677963968
369,mae hong son,TH,64.06,51,0,2.28,19.3003,97.9685,1677964063
370,sola,VU,82.11,78,39,21.3,-13.8833,167.55,1677964063
371,constitucion,CL,70.65,50,8,18.45,-35.3333,-72.4167,1677964064
372,port hueneme,US,62.08,71,40,17.27,34.1478,-119.1951,1677964064
373,burnie,AU,63.95,98,100,8.05,-41.0667,145.9167,1677964065
374,sharjah,AE,73.38,73,0,4.61,25.3573,55.4033,1677963942
375,tual,ID,82.27,78,100,19.89,-5.6667,132.75,1677964066
376,lupiro,TZ,70.77,95,91,2.98,-8.3833,36.6667,1677964066
377,guastalla,IT,49.08,78,12,3.29,44.9132,10.6609,1677964067
378,pavlodar,KZ,15.6,79,40,8.95,52.3,76.95,1677964068
379,azul,AR,84.0,31,0,15.14,-36.777,-59.8585,1677963937
380,yatou,CN,39.72,76,100,6.17,37.15,122.3833,1677964068
381,mount isa,AU,73.17,100,40,5.75,-20.7333,139.5,1677964069
382,grand-santi,GF,76.78,97,32,4.03,4.25,-54.3833,1677964069
383,zaraza,VE,94.33,33,40,10.45,9.3503,-65.3245,1677964070
384,kasempa,ZM,66.65,90,95,3.96,-13.4584,25.8338,1677964070
385,xinzhou,CN,40.64,32,0,1.28,38.4092,112.7333,1677964071
386,kununurra,AU,76.98,88,46,2.3,-15.7667,128.7333,1677964071
387,esil,KZ,20.84,89,100,13.47,51.9556,66.4042,1677964072
388,goderich,CA,35.91,91,48,7.09,43.7501,-81.7165,1677964073
389,sabang,ID,81.57,72,70,15.46,5.8933,95.3214,1677964073
390,namikupa,TZ,71.91,96,78,4.65,-10.8333,39.6,1677964074
391,merauke,ID,78.57,87,100,14.07,-8.4667,140.3333,1677964075
392,ankazobe,MG,63.3,94,100,7.07,-18.3167,47.1167,1677964075
393,samarai,PG,80.06,75,100,4.7,-10.6167,150.6667,1677964076
394,kaili,ID,65.7,93,100,3.65,-3.4626,120.2147,1677964076
395,san pedro,PH,73.35,81,5,9.33,14.35,121.0167,1677964077
396,dauphin,CA,26.91,82,13,4.12,51.1494,-100.0502,1677964077
397,rabo de peixe,PT,58.51,67,20,16.11,37.8,-25.5833,1677964078
398,bellary,IN,73.31,42,0,5.79,15.15,76.9333,1677964078
399,pangnirtung,CA,24.1,92,94,4.83,66.1451,-65.7125,1677964079
400,bethanien,NA,66.94,47,0,8.61,-26.502,17.1583,1677964080
401,saquarema,BR,78.84,84,23,11.41,-22.92,-42.5103,1677964080
402,nusaybin,TR,49.59,66,99,6.91,37.0778,41.2178,1677964081
403,moussoro,TD,86.88,10,92,11.59,13.6408,16.4901,1677964081
404,san felipe,VE,77.86,77,90,9.04,10.3399,-68.7425,1677964082
405,nakama,JP,40.01,74,0,6.67,33.8167,130.7,1677964083
406,vysokogornyy,RU,21.07,95,99,6.85,50.1167,139.15,1677964085
407,aguas formosas,BR,77.68,72,87,2.08,-17.0822,-40.9358,1677964086
408,karpogory,RU,-11.83,100,67,2.59,64.0019,44.4451,1677964087
409,caluquembe,AO,63.9,83,100,5.06,-13.7833,14.6833,1677964087
410,minab,IR,72.0,75,0,2.57,27.1467,57.0801,1677964088
411,pompeu,BR,75.67,68,58,5.28,-19.2244,-44.9353,1677964089
412,shirokiy,RU,15.66,92,16,6.55,49.758,129.523,1677964090
413,bereda,ES,42.58,99,5,2.33,43.2686,-7.5406,1677964091
414,vaitape,PF,82.26,71,100,10.4,-16.5167,-151.75,1677964092
415,kalemie,CD,71.33,79,84,0.16,-5.9475,29.1947,1677964093
416,boffa,GN,77.5,74,2,4.27,10.1667,-14.0333,1677964094
417,flinders,AU,69.39,85,35,3.0,-34.5833,150.8552,1677964094
418,abu kamal,SY,63.93,30,4,4.63,34.4506,40.9171,1677964095
419,hobyo,SO,77.97,78,63,17.2,5.3505,48.5268,1677964096
420,akdepe,TM,54.52,42,100,10.27,42.0551,59.3788,1677964097
421,huarmey,PE,77.85,73,73,9.62,-10.0681,-78.1522,1677964098
422,naze,JP,55.24,64,0,11.36,28.3667,129.4833,1677964099
423,coihaique,CL,52.41,93,100,5.75,-45.5752,-72.0662,1677964099
424,santa isabel do rio negro,BR,83.73,72,85,3.6,-0.4139,-65.0192,1677964100
425,puerto palomas,MX,65.12,14,2,11.03,31.7667,-107.6167,1677964102
426,santa rosa,PH,74.1,80,4,10.58,14.3122,121.1114,1677964103
427,thinadhoo,MV,81.7,73,76,6.8,0.5333,72.9333,1677964007
428,asyut,EG,78.51,10,0,6.91,27.181,31.1837,1677964104
429,djibo,BF,86.74,10,0,8.57,14.1022,-1.6306,1677964105
430,madang,PG,76.32,87,100,4.45,-5.2246,145.7966,1677964105
431,copiapo,CL,67.69,36,6,8.99,-27.3667,-70.3333,1677964107
432,hongjiang,CN,53.1,55,3,1.81,27.11,109.9956,1677964107
433,northam,GB,40.6,73,14,1.61,51.0333,-4.2167,1677964108
434,ust-kuyga,RU,-7.15,99,100,5.23,70.0167,135.6,1677964110
435,zhigansk,RU,1.6,97,100,13.33,66.7697,123.3711,1677964111
436,veraval,IN,79.21,51,1,10.29,20.9,70.3667,1677964111
437,sancti spiritus,CU,84.87,50,63,13.4,21.9297,-79.4425,1677964112
438,nosy varika,MG,74.73,95,100,4.07,-20.5833,48.5333,1677964113
439,santo tomas,PH,72.55,81,2,9.17,14.1079,121.1414,1677964114
440,katherine,AU,79.12,83,100,5.75,-14.4667,132.2667,1677964115
441,kirchzarten,DE,38.43,80,17,3.02,47.9667,7.95,1677964115
442,hirara,JP,66.07,58,86,16.82,24.8,125.2833,1677964116
443,ust-kut,RU,9.99,92,64,4.56,56.7938,105.7672,1677964117
444,bumba,CD,77.2,61,100,1.83,2.1833,22.4667,1677964117
445,den helder,NL,40.01,83,100,8.01,52.9599,4.7593,1677964051
446,sakakah,SA,66.69,19,0,5.99,29.9697,40.2064,1677964119
447,tromso,NO,26.62,86,75,20.71,69.6496,18.957,1677964119
448,uyuni,BO,69.42,15,96,11.18,-20.4597,-66.825,1677964120
449,wanaka,NZ,48.11,86,100,3.0,-44.7,169.15,1677964121
450,poum,NC,80.33,77,4,5.99,-20.2333,164.0167,1677964121
451,sao joao da barra,BR,82.49,80,41,16.2,-21.6403,-41.0511,1677963912
452,haines junction,CA,5.99,80,78,4.79,60.7522,-137.5108,1677964122
453,puerto carreno,CO,90.3,47,100,1.36,6.189,-67.4859,1677964123
454,kokopo,PG,73.38,93,100,5.39,-4.352,152.2633,1677964123
455,biak,ID,76.66,78,98,3.56,-0.9131,122.8766,1677964124
456,tibagi,BR,73.02,93,68,4.92,-24.5094,-50.4136,1677964124
457,whitehorse,CA,7.11,65,99,11.99,60.7161,-135.0538,1677964125
458,bhuban,IN,70.92,47,0,1.3,20.8833,85.8333,1677964125
459,mizan teferi,ET,68.56,62,93,3.38,6.9833,35.5833,1677964126
460,picos,BR,79.57,69,90,1.23,-7.0769,-41.4669,1677964126
461,bilibino,RU,-11.65,98,100,0.78,68.0546,166.4372,1677964127
462,berberati,CF,78.75,39,57,3.09,4.2612,15.7922,1677964127
463,kualakapuas,ID,72.79,99,100,3.65,-3.0091,114.3876,1677964128
464,ayame,CI,77.41,88,89,0.89,5.6083,-3.1563,1677964128
465,catemaco,MX,81.73,58,45,2.86,18.4167,-95.1167,1677964129
466,tulum,MX,82.29,63,78,8.7,20.2167,-87.4667,1677964130
467,tofte,NO,32.0,70,2,5.99,59.5428,10.5614,1677964130
468,kpandae,GH,85.62,51,100,9.6,8.4689,-0.0113,1677964131
469,havre-saint-pierre,CA,20.61,74,22,10.83,50.2334,-63.5986,1677964132
470,meulaboh,ID,74.86,88,73,4.52,4.1363,96.1285,1677964132
471,tautira,PF,80.06,78,100,8.68,-17.7333,-149.15,1677964133
472,puerto colombia,CO,86.09,81,53,22.95,10.9878,-74.9547,1677964133
473,tigil,RU,-9.15,99,94,5.23,57.8,158.6667,1677964134
474,sao felix do xingu,BR,76.95,96,67,3.22,-6.6447,-51.995,1677964134
475,along,IN,59.52,66,47,1.97,28.1667,94.7667,1677964135
476,shellbrook,CA,16.09,81,100,7.16,53.2168,-106.4011,1677964135
477,kulhudhuffushi,MV,80.67,73,36,7.4,6.6221,73.07,1677964136
478,trelew,AR,86.11,7,74,20.45,-43.249,-65.3051,1677963914
479,wamba,NG,85.51,37,20,1.57,8.9333,8.6,1677964137
480,lamar,US,71.37,56,0,5.75,33.6668,-95.5836,1677964137
481,youkounkoun,GN,89.37,15,44,3.29,12.5333,-13.1333,1677964137
482,barabai,ID,72.61,100,100,2.59,-2.5833,115.3833,1677964138
483,santa fe,AR,100.99,33,0,3.0,-31.6333,-60.7,1677964045
484,nauta,PE,79.47,94,96,1.92,-4.5061,-73.5757,1677964139
485,daan,CN,49.44,67,49,2.13,33.0558,106.2958,1677964139
486,mackenzie,CA,16.57,72,99,8.9,55.2999,-123.1698,1677964140
487,mitsamiouli,KM,82.36,77,100,13.65,-11.3847,43.2844,1677964140
488,morgan city,US,78.01,29,1,5.66,29.6994,-91.2068,1677964141
489,tessalit,ML,78.22,8,92,5.79,20.1986,1.0114,1677964142
490,evensk,RU,-23.96,97,100,6.42,61.95,159.2333,1677964142
491,jinchang,CN,38.44,27,5,6.26,38.4953,102.1739,1677964144
492,baoro,CF,78.37,36,100,3.4,5.6667,15.9667,1677964145
493,baglan,AF,59.65,45,46,2.98,36.1307,68.7083,1677964146
494,bassar,TG,83.14,42,60,4.72,9.25,0.7833,1677964147
495,bulolo,PG,70.65,83,100,3.15,-7.2,146.65,1677964148
496,punta de bombon,PE,75.18,74,58,6.22,-17.1717,-71.7931,1677964148
497,gander,CA,16.72,81,38,11.21,48.9682,-54.5906,1677964017
498,salalah,OM,75.29,73,20,3.44,17.0151,54.0924,1677964150
499,revda,RU,24.76,96,100,5.08,56.801,59.9303,1677964150
500,mandalgovi,MN,33.3,26,40,14.32,45.7625,106.2708,1677964151
501,colares,PT,55.76,74,100,17.0,38.7992,-9.4469,1677964152
502,portland,US,48.09,73,100,17.27,45.5234,-122.6762,1677964091
503,tonj,SS,86.54,11,71,4.79,7.2737,28.6822,1677964153
504,wukari,NG,88.86,45,85,8.61,7.85,9.7833,1677964092
505,maun,BW,74.61,55,1,3.76,-19.9833,23.4167,1677964154
506,cobourg,DE,37.78,81,100,1.99,50.2667,10.9667,1677964155
507,corsicana,US,74.25,42,0,9.22,32.0954,-96.4689,1677964155
508,capaci,IT,51.26,86,40,6.91,38.1711,13.2393,1677964156
509,archidona,ES,47.41,71,99,3.56,37.0965,-4.3887,1677964157
510,smidovich,RU,17.26,87,11,10.09,48.6,133.8167,1677964158
511,omboue,GA,79.14,87,99,8.52,-1.5746,9.2618,1677964159
512,amapa,BR,76.17,96,70,3.91,1.0,-52.0,1677963932
513,monrovia,LR,80.37,87,6,7.54,6.3005,-10.7969,1677963958
514,alexandria,EG,60.84,61,2,12.62,31.2156,29.9553,1677964160
515,luangwa,ZM,75.0,89,72,0.81,-15.6167,30.4167,1677964161
516,zhezkazgan,KZ,20.71,92,100,7.72,47.8043,67.7144,1677964162
517,ardesen,TR,48.94,93,100,4.94,41.1911,40.9875,1677964163
518,whitecourt,CA,18.66,73,100,7.67,54.1502,-115.6855,1677964163
519,sosnovo-ozerskoye,RU,20.91,78,100,11.3,52.5249,111.5418,1677964164
520,envira,BR,79.61,94,100,1.07,-7.3,-70.2167,1677964165
521,san blas,MX,94.89,52,99,7.78,21.5167,-105.2667,1677964166
522,bengkulu,ID,73.38,90,99,3.83,-3.8004,102.2655,1677964167
523,high level,CA,3.79,83,100,9.1,58.5169,-117.136,1677964167
524,baijiantan,CN,24.42,92,100,2.51,45.6333,85.1833,1677964168
525,kamenka,RU,30.56,86,100,17.36,51.3223,42.7678,1677964169
526,necochea,AR,66.74,43,4,13.42,-38.5473,-58.7368,1677964169
527,port lincoln,AU,66.31,65,49,8.59,-34.7333,135.8667,1677963898
528,kutoarjo,ID,75.02,93,100,2.95,-7.7169,109.9128,1677964170
529,kerema,PG,76.48,82,100,4.41,-7.9631,145.7785,1677964171
530,maputo,MZ,79.23,86,32,5.93,-25.9653,32.5892,1677964172
531,coquimbo,CL,65.93,82,75,11.5,-29.9533,-71.3436,1677964172
532,lazaro cardenas,MX,82.15,55,63,10.74,17.9583,-102.2,1677964173
533,letlhakane,BW,77.77,37,7,5.1,-21.4167,25.5833,1677964174
534,mazagao,BR,82.45,91,98,3.56,-0.115,-51.2894,1677964175
535,beyneu,KZ,40.57,83,100,16.6,45.3167,55.2,1677964175
536,eau claire,US,41.38,66,75,6.91,44.8114,-91.4985,1677963966
537,cockburn town,TC,80.56,65,40,14.97,21.4612,-71.1419,1677964177
538,west monroe,US,71.02,39,0,3.44,32.5185,-92.1476,1677964179
539,nemuro,JP,25.25,87,7,11.43,43.3236,145.575,1677964180
540,xichang,CN,47.21,88,12,2.71,27.8964,102.2634,1677964181
541,ibra,OM,70.0,57,25,2.57,22.6906,58.5334,1677964181
542,qandala,SO,77.41,71,2,6.91,11.472,49.8728,1677964182
543,koprivnice,CZ,37.18,80,100,10.36,49.5995,18.1448,1677964182
544,neuquen,AR,85.89,30,0,3.44,-38.9516,-68.0591,1677964183
545,salme,NP,52.48,41,1,6.73,28.0369,85.0942,1677964183
546,ola,RU,-22.14,99,100,5.55,59.5833,151.2833,1677964184
547,kamennomostskiy,RU,37.42,93,100,3.18,44.2983,40.1856,1677964184
548,wanning,CN,64.31,88,28,5.77,18.8003,110.3967,1677964185
549,bushehr,IR,66.29,68,0,4.61,28.9684,50.8385,1677963997
550,dakar,SN,74.28,77,62,9.46,14.6937,-17.4441,1677964186
551,zaysan,KZ,24.91,96,98,1.21,47.4667,84.8667,1677964186
552,kieta,PG,77.47,87,98,8.43,-6.2167,155.6333,1677964187
553,buchanan,LR,80.47,86,3,7.72,5.8808,-10.0467,1677964187
554,kajaani,FI,23.05,93,20,3.44,64.2273,27.7285,1677964188
555,sasebo,JP,45.03,82,0,7.85,33.1592,129.7228,1677964188
556,flin flon,CA,13.71,79,90,10.33,54.7682,-101.865,1677964189
557,la asuncion,VE,83.93,65,7,20.71,11.0333,-63.8628,1677963941
558,anadyr,RU,-1.7,84,75,6.71,64.75,177.4833,1677964189
559,kidal,ML,82.44,8,92,8.9,18.4411,1.4078,1677964190
560,muravlenko,RU,-18.67,100,81,6.29,63.7898,74.523,1677964190
561,manitowoc,US,43.74,73,100,10.36,44.0667,-87.8001,1677964191
562,karatau,KZ,50.9,50,100,8.55,43.1667,70.4667,1677964191
563,pochutla,MX,87.82,42,2,10.65,15.7432,-96.4661,1677964191
564,simpang,ID,71.24,99,100,2.82,-1.2667,104.0833,1677964192
